Commit SHA,Filename,Old function signature,New function signature,Overloaded
bb0ab4c92f297b09ddd5c031b47273813071801c,RestAdapter.java,"RestAdapter::findAnnotation( Method method , Class<T> annotationClass , Annotation previousFind)","RestAdapter::findAnnotation( Annotation [ ] annotations , Class<A> annotationType , Method method , int parameterIndex)",No
a1cee2eb489f4a3369ff24e94d39dabf939aa12e,HttpMethodType.java,useMultipart( Class <?> [ ] parameterTypes),"useMultipart( Class <?> [ ] parameterTypes , Annotation [ ] [ ] parameterAnnotations)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,CallbackResponseHandler.java,CallbackResponseHandler<T>::CallbackResponseHandler( Callback<T> callback),"CallbackResponseHandler<T>::CallbackResponseHandler( Gson gson , Callback<T> callback)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,Fetcher.java,"Fetcher::Fetcher( Provider<HttpClient> httpClientProvider , Executor executor , MainThread mainThread)","Fetcher::Fetcher( Gson gson , Provider<HttpClient> httpClientProvider , Executor executor , MainThread mainThread)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,Fetcher.java,"Fetcher::DownloadHandler::DownloadHandler( ByteSink . Factory destination , UiCallback<Void> callback , ProgressListener progressListener , MainThread mainThread)","Fetcher::DownloadHandler::DownloadHandler( Gson gson , ByteSink . Factory destination , UiCallback<Void> callback , ProgressListener progressListener , MainThread mainThread)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,GsonResponseHandler.java,"GsonResponseHandler<T>::GsonResponseHandler( Type type , Callback<T> callback)","GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback)",No
b40e91c8e998549d1f18df8843d7e9286947b92e,GsonResponseHandler.java,"GsonResponseHandler<T>::create( Type type , Callback<T> callback)","GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,HttpRequestBuilderTest.java,HttpRequestBuilderTest::MyCallback::clientError( SimpleResponse response),"HttpRequestBuilderTest::MyCallback::clientError( SimpleResponse response , int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,HttpRequestBuilderTest.java,HttpRequestBuilderTest::MyCallback::serverError( String message),"HttpRequestBuilderTest::MyCallback::serverError( String message , int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,RestAdapterTest.java,RestAdapterTest::expectResponseCalls( String jsonToReturn),"RestAdapterTest::expectResponseCalls( String jsonToReturn , int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,UiCallback.java,UiCallback<T>::clientError( final T response),"UiCallback<T>::clientError( final T response , final int statusCode)",No
5ea679fb5223de4364d8b1bb7d46abba2e99ced4,UiCallback.java,UiCallback<T>::serverError( final String message),"UiCallback<T>::serverError( final String message , final int statusCode)",No
a258d06492617e27a1515e7618d13336920dd9f1,RestAdapter.java,"RestAdapter::RestHandler::backgroundInvoke( Method method , Object [ ] args)","RestAdapter::RestHandler::backgroundInvoke( HttpUriRequest request , Method method , UiCallback <?> callback)",No
c9f5ec07de590fccc69f3a3f3500156893ccf768,RestAdapter.java,"RestAdapter::RestHandler::backgroundInvoke( Method method , final Object [ ] args)","RestAdapter::RestHandler::backgroundInvoke( HttpUriRequest request , ResponseHandler<Void> rh , UiCallback <?> callback)",No
82b27f3f041c79736c4933049247b429b467af16,GsonResponseHandler.java,"GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback)","GsonResponseHandler<T>::GsonResponseHandler( Gson gson , Type type , Callback<T> callback , String url , String startTime)",No
82b27f3f041c79736c4933049247b429b467af16,GsonResponseHandler.java,"GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback)","GsonResponseHandler<T>::create( Gson gson , Type type , Callback<T> callback , String url , String startTime)",No
